ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,age
100404,7,7,7,7,7,7,7,7,7,56
102104,7,7,5,5,5,7,7,7,7,35
104304,7,6,6,7,6,4,5,4,7,40
110401,6,6,4,4,4,5,5,4,6,50
111932,6,3,5,5,4,3,5,3,4,55
114156,5,5,6,4,6,7,7,4,7,29
125944,6,5,3,5,6,3,6,2,7,22
130017,1,1,1,1,1,1,1,4,7,40
131258,5,3,4,3,2,2,4,3,4,60
131319,5,5,2,2,5,5,3,5,5,27
131828,2,4,3,3,4,4,4,4,6,53
132210,6,5,4,5,4,4,5,3,4,58
132531,6,6,6,6,6,7,7,6,7,60
132755,6,6,6,6,7,6,6,6,7,46
133947,7,7,7,7,7,7,7,6,7,22
140304,5,5,5,5,5,5,5,5,5,65
140757,6,5,5,5,5,6,5,4,6,41
140959,6,5,5,4,6,5,5,4,3,47
141359,7,7,7,7,7,7,7,7,7,11
142150,6,6,6,5,6,6,7,6,7,51
142337,7,7,7,7,5,6,5,7,7,79
142941,5,3,4,3,3,4,5,4,5,45
143127,6,3,4,4,5,5,5,3,4,83
143640,4,5,5,5,5,5,5,5,6,23
143819,4,7,5,6,6,5,5,4,5,53
144033,6,6,6,6,5,6,6,6,5,49
145231,3,4,3,3,2,4,4,3,6,62
150548,2,4,3,3,3,4,3,4,5,53
150943,7,5,3,3,4,5,4,4,4,52
151304,6,6,3,5,5,5,5,5,6,50
151633,5,5,5,6,6,4,5,5,5,58
151743,7,7,7,7,7,4,7,7,7,61
152219,3,3,3,3,3,4,4,4,4,54
152435,5,4,5,5,4,4,4,5,6,62
152752,6,6,6,5,5,6,6,6,6,38
152902,6,6,7,7,7,7,7,6,7,22
153433,2,5,2,2,2,3,2,2,4,34
154457,5,4,5,5,5,5,6,5,7,26
155021,6,7,6,7,7,7,7,6,7,25
155115,5,4,5,5,5,3,5,3,5,53
155638,4,4,5,6,5,4,5,6,6,51
160347,5,4,5,6,6,6,6,4,7,29
161440,4,7,5,5,5,4,4,4,6,76
162150,7,7,5,7,6,7,7,5,7,31
162755,7,7,7,7,7,7,5,6,7,49
163843,5,7,7,5,6,4,3,3,7,49
164521,5,5,6,6,6,6,5,5,6,42
164627,5,7,6,5,6,6,6,5,7,56
165308,5,6,2,2,3,6,4,4,6,53
171118,6,6,7,6,5,6,7,6,6,22
140418,4,5,4,3,4,4,4,3,6,NaN
163614,7,7,7,7,7,7,7,7,7,NaN